tconst;tmdb_id;acteur_principal_;actor_image_url
tt0035423;11232;Meg Ryan;https://image.tmdb.org/t/p/w500/pxfTSfJ4yJWq52uomSWKzigngOa.jpg
tt0036606;73069;Phyllis Logan;https://image.tmdb.org/t/p/w500/jRNfzD3bA5fyPxXRTiDbfNsTcOV.jpg
tt0052205;95220;Anthony Newley;https://image.tmdb.org/t/p/w500/aPKqp2ICDkgCMIgbeUj7CI53FY1.jpg
tt0052376;211937;Tony Russel;https://image.tmdb.org/t/p/w500/fB2CXBkADZYql2Pb7p5wZ1yNxAZ.jpg
tt0052607;43106;Peter Sellers;https://image.tmdb.org/t/p/w500/sCVIv2DGoC9U16anTjLwMxKBPZ.jpg
tt0052614;428076;Loleh Bellon;https://image.tmdb.org/t/p/w500/pxFm0rZ0nFEYmYzepviPYirxvey.jpg
tt0052680;43030;James Garner;https://image.tmdb.org/t/p/w500/hiPky3VwIOAlmPhJwzRovEsGDrI.jpg
tt0052686;76280;Louis de Funès;https://image.tmdb.org/t/p/w500/8R8WVggSEKxxT4n2HRKHjxHrIQZ.jpg
tt0052698;34145;Lino Ventura;https://image.tmdb.org/t/p/w500/j8D4ox5jSavrB7G8KrlxEIxivEq.jpg
tt0052737;104923;Jeanne Moreau;https://image.tmdb.org/t/p/w500/lsIlRbcStJev5n1mypIeUUYKWuy.jpg
tt0052745;131785;David Ladd;https://image.tmdb.org/t/p/w500/kHqkJaT7TdVwoN3YeaZ3KKSEnUP.jpg
tt0052769;63682;Bernadette Lafont;https://image.tmdb.org/t/p/w500/tbd5JYZqZw0Afu5b5kDOrr9DqLk.jpg
tt0052781;78812;Leo Genn;https://image.tmdb.org/t/p/w500/2MxHaZXCgxPmHiK4MWn1a3o7qzk.jpg
tt0052811;52203;Peter Cushing;https://image.tmdb.org/t/p/w500/if5g03wn6uvHx7F6FxXHLebKc0q.jpg
tt0052832;47837;Marlon Brando;https://image.tmdb.org/t/p/w500/iyO183LVAJ0I4ZkNibINPjfAjCP.jpg
tt0052925;652106;Antonio Vilar;https://image.tmdb.org/t/p/w500/4bzCXLhjYxcbTohv5Y8fT9mD2Pe.jpg
tt0052997;46724;Jack Hawkins;https://image.tmdb.org/t/p/w500/pfpe9NQrcrTrxMeU0xGsh1XRBOK.jpg
tt0053063;290021;Danielle Darrieux;https://image.tmdb.org/t/p/w500/l8YlVUlaJw83YQ3mmqmM1iO3KI7.jpg
tt0053149;119601;Robert Morley;https://image.tmdb.org/t/p/w500/xt6OIigtHMcW1tdnHGM9tJisW75.jpg
tt0053244;94393;Anthony Quinn;https://image.tmdb.org/t/p/w500/aBxjWWvZR63rTQfrtBPiI0CbGKA.jpg
tt0053255;295156;Michèle Morgan;https://image.tmdb.org/t/p/w500/o0ZfgK6GxHCNTgTPQOzyiktvKcY.jpg
tt0053273;68951;Terence Morgan;https://image.tmdb.org/t/p/w500/6DFqVfOXBOnox9fjgfArcet9qaq.jpg
tt0053279;64414;Jess Hahn;https://image.tmdb.org/t/p/w500/he6uHoBzRXkNMi2rIrno9elh39X.jpg
tt0053365;162040;Jayne Mansfield;https://image.tmdb.org/t/p/w500/mlBXHFWp50rIwSuuojKCoB5SVwN.jpg
tt0053371;96828;James Mason;https://image.tmdb.org/t/p/w500/wLj91mClMkIwVt0sB6keFcNJ7hc.jpg
tt0053440;99592;Curd Jürgens;https://image.tmdb.org/t/p/w500/ewM6Zh2XGxFuxQ2Ec8zBKJWn4Cq.jpg
tt0053472;269;Jean-Paul Belmondo;https://image.tmdb.org/t/p/w500/hXAM7zTXGWVAv0VLGGrnxAJJbca.jpg
tt0053561;142405;Van Heflin;https://image.tmdb.org/t/p/w500/hE9Hnv2RScUGCwkfFiRLrxqjeQQ.jpg
tt0053571;43041;Tony Randall;https://image.tmdb.org/t/p/w500/chkOBbF21YeXpV1RCdhHm5gTV7O.jpg
tt0053577;70909;Mu-ryong Choi;https://raw.githubusercontent.com/Ptit-Lulu/Projet2_Cinema_Creuse/Machine_Learning/pages/Image_non_disponible.jpg
tt0053580;11209;John Wayne;https://image.tmdb.org/t/p/w500/vI1DyoZxvz51Gxb8uwVLwladohk.jpg
tt0053582;127808;Robert Wagner;https://image.tmdb.org/t/p/w500/dgIN3MrOfX8Q4pzchO58dhMgrFb.jpg
tt0053583;133715;Alan Ladd;https://image.tmdb.org/t/p/w500/uGB0o5okVhsS7ogtwwEXmbtRF2k.jpg
tt0053597;92586;Mylène Demongeot;https://image.tmdb.org/t/p/w500/5Wg8Rrplr4k7LWHSsTadJlDV7C6.jpg
tt0053601;139916;Ava Gardner;https://image.tmdb.org/t/p/w500/o8t2jFDuUTqAh3VYvj62yQfHKkD.jpg
tt0053602;83995;Richard Attenborough;https://image.tmdb.org/t/p/w500/6DRvtpCCmgDT90EKifGTDN1sXY2.jpg
tt0053604;284;Jack Lemmon;https://image.tmdb.org/t/p/w500/7jWVWLr1VJqQrN3d4YJaATCIHRw.jpg
tt0053617;102744;Joselito;https://image.tmdb.org/t/p/w500/34D2bEyzXCuWo0bW92zSuUcaGbG.jpg
tt0053619;5165;Gabriele Ferzetti;https://image.tmdb.org/t/p/w500/usiGcuBhMrSK8VnMHFKV6zDFrhj.jpg
tt0053622;23724;Elizabeth Taylor;https://image.tmdb.org/t/p/w500/557RUljqbTDAozK2HpeEHOPGkC8.jpg
tt0053635;95186;Jean Gabin;https://image.tmdb.org/t/p/w500/pmFuOVTQvYdgmN7cYOuyJHPfMRt.jpg
tt0053638;50791;Pierre Mondy;https://image.tmdb.org/t/p/w500/xRk7iv46tFfzrawX1hb3TfkT8Mv.jpg
tt0053641;127776;Dick Clark;https://image.tmdb.org/t/p/w500/5b0BckJqRZIwi1LcbuA8o2KPZTZ.jpg
tt0053645;43029;Judy Holliday;https://image.tmdb.org/t/p/w500/uN5hfyBlQtWSlVzQusUtcecjukZ.jpg
tt0053650;196259;Richard Greene;https://image.tmdb.org/t/p/w500/4BOJccYhTOMIcomAzhhzQjnrJkd.jpg
tt0053660;177864;George Sanders;https://image.tmdb.org/t/p/w500/5tzdY4lCnfbLZU8Wblp5xfjn10B.jpg
tt0053663;311055;Laurent Terzieff;https://image.tmdb.org/t/p/w500/4eXa5yge4u73t90Ah4ybIiZlopr.jpg
tt0053666;27419;Bernadette Lafont;https://image.tmdb.org/t/p/w500/tbd5JYZqZw0Afu5b5kDOrr9DqLk.jpg
tt0053672;18977;Charles Herbert;https://image.tmdb.org/t/p/w500/sAygzGPy4JPLGr5pNwwUY3j4idL.jpg
